k	program	signature	category	signature_genes_in_background	top_n	overlap_n	overlap_top50_n	overlap_genes	overlap_top50_genes	p_value	neg_log10_p
8	1	ecm_degradation	ecm_remodeling	17	100	2	1	LOX,MMP3	MMP3	0.10592506236370273	0.9750012716347
8	1	fibrocartilage_matrix	fibrocartilage	16	100	2	1	DCN,FRZB	FRZB	0.09544243031613857	1.0202585104583135
8	1	angiogenesis_hypoxia	communication	9	100	1	0	ADM		0.26039353388855496	0.5843698044025643
8	1	paracrine_communication	communication	12	100	0	0			1.0	-0.0
8	1	progenitor_interface	progenitor_interface	8	100	0	0			1.0	-0.0
8	1	generic_stress	generic_stress	14	100	8	8	DDIT4,FOS,JUN,MT1E,MT1M,MT1X,MT2A,TXNIP	DDIT4,FOS,JUN,MT1E,MT1M,MT1X,MT2A,TXNIP	2.6595794396900385e-09	8.57518703309156
8	1	immune_contamination	contamination	13	100	1	0	CD14		0.3533761800303181	0.45176272825891506
8	1	mural_contamination	contamination	10	100	0	0			1.0	-0.0
8	1	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
8	1	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
8	2	senescence_core	senescence	15	100	0	0			1.0	-0.0
8	2	sasp_inflammatory	sasp	20	100	1	1	TNFAIP6	TNFAIP6	0.4890811644551101	0.31061906245110604
8	2	ecm_degradation	ecm_remodeling	17	100	4	2	COL3A1,FN1,HTRA1,TIMP1	FN1,HTRA1	0.0018910338451440306	2.7233006982159047
8	2	fibrocartilage_matrix	fibrocartilage	16	100	13	10	ACAN,CILP,CILP2,COL11A1,COL2A1,COL9A2,COL9A3,COMP,DCN,FMOD,MGP,PRELP,SCRG1	CILP,CILP2,COL11A1,COL2A1,COL9A3,COMP,FMOD,MGP,PRELP,SCRG1	1.2491711750116472e-17	16.90337804579776
8	2	angiogenesis_hypoxia	communication	9	100	1	0	ANGPTL2		0.26039353388855496	0.5843698044025643
8	2	paracrine_communication	communication	12	100	0	0			1.0	-0.0
8	2	progenitor_interface	progenitor_interface	8	100	1	0	GDF5		0.23515099238304482	0.6286531841066286
8	2	generic_stress	generic_stress	14	100	0	0			1.0	-0.0
8	2	immune_contamination	contamination	13	100	0	0			1.0	-0.0
8	2	mural_contamination	contamination	10	100	0	0			1.0	-0.0
8	2	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
8	2	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
8	3	senescence_core	senescence	15	100	3	3	CDKN1A,HMOX1,TNFRSF10D	CDKN1A,HMOX1,TNFRSF10D	0.011805608462311426	1.92791162442478
8	3	sasp_inflammatory	sasp	20	100	4	2	ICAM1,IL11,MIF,PTGS2	MIF,PTGS2	0.003567942938810839	2.4475820997997664
8	3	ecm_degradation	ecm_remodeling	17	100	0	0			1.0	-0.0
8	3	fibrocartilage_matrix	fibrocartilage	16	100	2	1	CILP,SOX9	SOX9	0.09544243031613857	1.0202585104583135
8	3	angiogenesis_hypoxia	communication	9	100	6	6	ANGPTL4,BNIP3,HMOX1,MIF,SLC2A1,VEGFA	ANGPTL4,BNIP3,HMOX1,MIF,SLC2A1,VEGFA	8.50051833556952e-08	7.070554591531095
8	3	paracrine_communication	communication	12	100	9	7	ANGPTL4,BMP2,CCN1,CCN2,IL11,INHBA,MIF,TNFRSF12A,VEGFA	ANGPTL4,BMP2,CCN1,INHBA,MIF,TNFRSF12A,VEGFA	6.420909104620564e-12	11.192403477979648
8	3	progenitor_interface	progenitor_interface	8	100	0	0			1.0	-0.0
